S,0,1,2,3,4,5,6,7,8,9,10
2469,0,1,1,3,4,4,4,4,4,3,3
2470,0,1,2,3,4,4,4,4,4,3,3
2471,0,1,1,2,3,4,4,4,4,3,2
2472,0,1,1,2,2,2,3,3,3,3,2
2473,0,1,1,2,3,3,3,3,2,3,3
2474,0,1,1,2,3,4,4,4,3,3,2
2475,0,1,1,1,2,2,3,2,2,2,2
2476,0,1,1,1,1,2,2,3,3,3,4
2477,0,1,1,2,2,3,4,4,3,3,2
2478,0,1,1,2,3,3,3,3,3,3,2
2479,0,1,1,1,2,3,3,2,2,1,1
2480,0,1,2,3,4,4,4,4,4,4,4
2481,0,1,1,2,3,3,3,2,2,2,1
2482,0,1,1,2,2,3,3,3,3,2,2
2483,0,1,2,3,3,4,5,5,4,4,4
2484,0,1,2,3,3,3,4,4,4,4,4
2485,0,1,1,1,1,2,2,2,2,2,1
2486,0,1,1,2,2,2,3,3,3,2,2
2487,0,1,2,2,2,3,3,4,3,3,2
2488,0,1,1,3,3,3,4,3,3,3,3
2489,0,1,1,2,2,2,3,2,3,3,3
2490,0,1,1,2,2,3,4,4,4,2,1
2491,0,1,1,2,3,3,3,3,3,3,1
2492,0,1,2,3,3,3,4,4,3,2,2
2493,0,1,2,3,2,3,4,3,3,3,2
2494,0,1,1,2,2,3,4,4,3,3,3
2495,0,1,2,3,3,4,4,4,4,4,3
2496,0,1,1,1,2,3,3,2,1,1,0
2497,0,1,1,2,3,3,4,3,3,2,3
2498,0,1,2,3,3,4,4,4,3,3,1
2499,0,1,1,2,2,3,4,4,4,3,2
2500,0,1,2,3,2,2,3,3,3,3,2
2501,0,1,1,2,3,4,4,4,4,4,4
2502,0,1,1,1,1,2,3,3,3,3,3
2503,0,1,3,4,4,5,5,5,5,5,5
2504,0,1,2,3,3,4,5,4,4,4,4
2505,0,1,1,3,4,4,4,5,5,5,4
2506,0,1,1,2,2,3,3,3,2,1,2
2507,0,1,1,3,3,4,4,4,4,3,3
2508,0,1,1,2,3,4,4,5,5,5,4
2509,0,1,1,2,3,3,4,4,3,3,3
2510,0,1,1,2,3,2,3,2,2,1,1
2511,0,1,1,1,1,2,3,3,3,3,3
2512,0,1,1,2,3,3,4,2,3,3,2
2513,0,1,1,1,3,3,4,4,4,4,4
2514,0,1,2,4,4,4,4,4,4,4,4
2515,0,1,1,2,3,4,4,4,4,4,4
2516,0,1,2,3,4,4,4,4,4,4,4
2517,0,1,1,2,3,4,4,3,3,3,3
2518,0,1,2,3,3,2,2,3,3,3,3
2519,0,1,1,3,4,5,5,5,5,5,5
2520,0,1,2,2,3,3,4,3,3,2,2
2521,0,1,1,2,3,4,5,4,5,4,4
2522,0,1,1,2,3,4,4,4,4,4,3
2523,0,1,2,3,3,3,3,3,3,3,2
2524,0,1,1,2,3,3,3,3,4,4,3
2525,0,1,2,3,3,4,4,4,4,4,4
2526,0,1,1,2,4,4,4,4,4,4,4
2527,0,1,2,3,3,3,4,4,4,3,3
2528,0,1,1,2,2,3,3,3,3,2,1
2529,0,1,2,3,4,3,4,3,3,3,3
2530,0,1,1,1,1,1,2,1,0,0,0
2531,0,1,1,1,3,4,4,4,4,3,3
2532,0,1,2,2,4,4,4,4,4,4,3
2533,0,1,1,2,3,4,4,2,3,3,3
2534,0,1,2,3,4,4,5,4,4,4,3
2535,0,1,1,2,3,3,4,4,3,4,4
2536,0,1,1,2,3,3,4,4,4,4,3
2537,0,1,2,2,3,4,4,4,4,4,4
2538,0,1,2,2,4,4,4,3,3,1,1
2539,0,1,1,2,3,3,3,3,3,2,3
2540,0,1,1,1,2,2,3,3,3,2,1
2541,0,1,1,1,2,3,2,2,2,2,1
2542,0,1,1,2,3,3,4,3,3,3,2
2543,0,1,2,3,4,4,4,4,4,3,3
2544,0,1,2,2,2,2,2,2,2,1,0
2545,0,1,1,3,3,3,4,3,3,3,3
2546,0,1,1,2,3,3,4,4,4,3,3
2547,0,1,1,2,2,3,4,3,3,4,3
2548,0,1,2,3,3,3,4,4,4,3,3
2549,0,1,1,2,2,3,3,3,3,2,3
2550,0,1,1,2,3,3,3,3,2,2,2
2551,0,1,1,3,3,4,4,4,4,4,4
2552,0,1,2,2,4,4,4,4,4,4,3
2553,0,1,1,3,4,4,4,4,4,4,4
2554,0,1,1,2,3,3,3,3,3,2,2
2555,0,1,2,3,4,4,4,4,4,3,3
2556,0,1,1,1,2,3,4,3,3,3,2
2557,0,1,1,3,3,3,3,3,3,2,1
2558,0,1,1,2,3,4,4,5,5,5,5
2559,0,1,1,1,2,3,3,3,3,2,2
2560,0,1,1,3,3,4,4,4,4,4,4
2561,0,1,1,2,3,3,4,4,3,2,2
2562,0,1,1,2,3,2,3,2,2,1,0
2563,0,1,1,2,1,3,4,3,2,2,2
2564,0,1,1,2,2,2,3,2,2,2,2
2565,0,1,1,3,2,1,1,1,1,0,0
2566,0,1,1,2,2,3,3,4,3,3,3
2567,0,1,2,3,4,4,5,4,4,4,3
2568,0,1,1,1,2,1,2,1,1,0,0
2569,0,1,1,2,2,2,3,3,3,2,2
2570,0,1,1,2,3,3,4,4,4,3,4
2571,0,1,1,2,4,3,4,3,4,4,3
2572,0,1,1,2,3,4,4,3,3,3,2
2573,0,1,1,3,3,3,4,2,2,1,1
2574,0,1,2,2,2,3,3,3,3,3,3
2575,0,1,2,2,3,4,4,4,4,4,4
2576,0,1,1,1,2,2,3,3,3,3,3
2577,0,1,1,1,2,2,2,2,2,2,1
2578,0,1,1,2,3,3,4,4,3,4,3
2579,0,1,1,1,1,2,3,3,2,2,2
2580,0,1,1,2,2,3,3,3,4,4,3
2581,0,1,1,3,4,4,4,4,4,3,3
2582,0,1,2,3,3,4,4,4,4,3,3
2583,0,1,1,1,1,2,3,3,3,2,1
2584,0,1,1,2,3,2,3,3,3,3,2
2585,0,1,1,1,3,3,4,4,4,4,3
2586,0,1,1,3,4,4,5,4,3,2,2
2587,0,1,1,1,1,2,3,3,2,1,1
2588,0,1,1,2,2,3,3,3,2,3,3
2589,0,1,1,2,2,3,3,3,4,3,4
2590,0,1,3,3,4,5,5,4,5,4,3
2591,0,1,1,2,2,2,2,1,1,1,0
2592,0,1,1,1,2,2,2,2,2,2,1
2593,0,1,1,2,2,3,3,3,3,3,3
2594,0,1,2,4,4,4,4,3,3,3,1
2595,0,1,1,3,4,4,5,5,5,5,4
2596,0,1,1,3,4,4,4,4,4,3,4
2597,0,1,2,3,4,3,3,3,2,1,1
2598,0,1,1,2,3,3,3,2,3,1,2
2599,0,1,1,2,3,3,4,4,3,2,2
2600,0,1,1,3,3,3,3,3,4,3,3
2601,0,1,2,3,4,5,5,5,5,4,4
2602,0,1,1,2,2,2,3,3,3,2,2
2603,0,1,1,2,3,4,4,4,4,4,3
2604,0,1,2,3,4,3,4,3,3,3,3
2605,0,1,1,2,2,2,2,3,3,2,1
2606,0,1,1,1,1,2,4,4,3,2,2
2607,0,1,1,2,2,3,3,4,4,3,2
2608,0,1,1,3,3,4,5,5,5,4,4
2609,0,1,1,2,3,4,4,4,3,3,3
2610,0,1,1,2,3,4,4,3,2,2,2
2611,0,1,2,3,3,4,5,4,4,4,3
2612,0,1,1,3,3,4,5,4,4,4,4
2613,0,1,1,2,2,2,3,3,3,3,2
2614,0,1,2,3,3,3,3,4,4,3,1
2615,0,1,1,3,4,4,4,4,4,4,4
2616,0,1,1,2,3,4,4,4,4,4,3
2617,0,1,1,2,3,3,4,4,4,3,3
2618,0,1,1,2,2,2,2,2,2,1,1
2619,0,1,1,2,3,4,3,3,3,2,2
2620,0,1,1,2,3,3,4,4,4,3,3
2621,0,1,1,2,2,3,3,3,4,3,4
2622,0,1,1,2,3,4,4,3,3,3,2
2623,0,1,1,3,3,4,4,4,4,3,3
2624,0,1,1,2,3,4,4,3,4,4,3
2625,0,1,2,2,3,3,4,2,3,2,1
2626,0,1,1,2,3,3,3,3,3,3,2
2627,0,1,1,3,3,3,3,3,3,2,2
2628,0,1,1,2,3,3,4,3,3,2,3
2629,0,1,1,2,2,3,3,3,2,1,1
2630,0,1,1,3,3,4,5,4,4,4,3
2631,0,1,1,1,2,2,3,3,3,2,1
2632,0,1,1,2,2,3,4,4,4,4,3
2633,0,1,2,2,3,3,4,3,3,3,3
2634,0,1,1,3,4,4,4,3,3,2,2
2635,0,1,1,2,3,4,4,4,4,4,4
2636,0,1,1,2,2,2,3,3,3,3,2
2637,0,1,1,2,3,4,4,4,4,3,4
2638,0,1,1,1,2,3,4,3,3,2,2
2639,0,1,2,4,4,4,4,4,4,4,3
2640,0,1,2,3,3,5,5,5,5,4,4
2641,0,1,1,2,3,3,4,3,3,3,2
2642,0,1,2,3,3,4,4,4,3,2,2
2643,0,1,1,3,3,4,4,4,4,4,3
2644,0,1,1,2,4,4,5,4,4,4,4
2645,0,1,1,2,4,4,5,5,5,5,4
2646,0,1,3,4,4,5,5,5,5,4,4
2647,0,1,2,3,4,4,5,5,5,4,5
2648,0,1,1,2,3,3,3,3,3,2,2
2649,0,1,2,2,3,3,4,4,4,4,4
2650,0,1,1,3,4,4,4,4,3,3,4
2651,0,1,1,1,1,2,3,3,3,3,3
2652,0,1,1,1,2,2,2,2,2,2,2
2653,0,1,1,2,3,3,4,3,3,3,2
2654,0,1,2,3,3,3,3,3,2,2,1
2655,0,1,1,1,2,3,3,3,3,3,3
2656,0,1,1,3,3,4,4,4,4,3,2
2657,0,1,1,3,3,4,4,4,3,2,2
2658,0,1,2,4,3,4,4,4,4,4,3
2659,0,1,1,1,1,2,3,2,2,1,0
2660,0,1,2,3,4,5,5,5,5,5,5
2661,0,1,1,2,2,2,3,3,3,2,1
2662,0,1,1,2,3,3,3,4,4,3,3
2663,0,1,1,2,2,4,4,3,4,3,3
2664,0,1,1,2,2,3,4,3,3,3,3
2665,0,1,1,1,3,4,4,4,4,3,3
2666,0,1,2,3,4,4,4,4,4,3,3
2667,0,1,1,2,3,2,3,3,2,1,1
2668,0,1,1,3,3,3,4,3,3,2,2
2669,0,1,1,3,3,4,3,3,3,3,2
2670,0,1,1,3,3,4,4,4,4,3,3
2671,0,1,1,3,4,3,3,3,3,3,2
2672,0,1,2,3,4,4,4,4,4,4,4
2673,0,1,2,2,3,3,4,3,3,2,2
2674,0,1,2,3,4,5,5,5,5,5,5
2675,0,1,1,2,3,4,4,3,3,3,2
2676,0,1,1,2,2,3,4,4,4,4,3
2677,0,1,1,3,4,4,4,4,3,3,2
2678,0,1,1,3,3,4,4,4,4,4,3
2679,0,1,1,2,4,4,4,5,4,4,4
2680,0,1,1,3,3,3,3,3,3,2,2
2681,0,1,1,3,3,4,4,4,3,4,3
2682,0,1,1,1,1,2,4,3,3,2,1
2683,0,1,1,2,3,4,4,4,4,4,4
2684,0,1,3,4,4,4,5,5,4,5,5
2685,0,1,2,3,3,4,5,5,5,5,4
2686,0,1,1,1,1,1,2,2,2,1,0
2687,0,1,1,2,4,4,5,5,4,4,4
2688,0,1,1,2,3,4,3,3,3,2,1
2689,0,1,2,3,4,4,5,5,5,5,5
2690,0,1,2,3,3,3,3,3,3,2,2
2691,0,1,1,2,2,1,2,1,1,1,0
2692,0,1,1,2,2,3,4,4,3,3,3
2693,0,1,1,3,3,4,4,4,4,4,4
2694,0,1,2,3,4,3,4,4,4,3,3
2695,0,1,1,2,4,4,4,4,4,3,2
2696,0,1,2,3,4,4,4,4,4,4,4
2697,0,1,1,1,2,3,3,3,3,3,3
2698,0,1,1,2,3,1,2,2,1,1,0
2699,0,1,2,2,3,3,4,4,4,3,2
2700,0,1,1,2,3,3,4,3,3,3,2
2701,0,1,1,2,3,3,4,4,4,4,4
2702,0,1,1,2,2,3,3,2,2,1,2
2703,0,1,1,3,4,5,5,5,5,5,5
2704,0,1,1,1,2,2,3,3,3,3,3
2705,0,1,1,2,2,3,3,3,3,3,2
2706,0,1,1,2,2,3,4,4,3,3,3
2707,0,1,1,1,3,3,4,4,4,4,2
2708,0,1,1,2,2,2,2,2,2,2,2
2709,0,1,1,2,2,2,3,3,2,1,1
2710,0,1,1,2,2,3,4,3,3,3,3
2711,0,1,1,1,2,2,2,2,2,2,2
2712,0,1,1,1,2,3,3,3,3,3,2
2713,0,1,1,1,2,2,3,3,3,3,3
2714,0,1,1,2,3,3,4,4,3,2,1
2715,0,1,2,3,3,3,3,3,3,3,3
2716,0,1,1,1,1,2,3,2,3,3,3
2717,0,1,2,4,4,5,5,4,4,4,3
2718,0,1,1,3,4,3,3,3,3,3,2
2719,0,1,1,3,3,3,3,4,4,4,3
2720,0,1,2,2,3,3,4,4,2,2,2
2721,0,1,1,1,3,2,3,3,3,3,3
2722,0,1,1,1,2,2,3,3,3,2,2
2723,0,1,1,3,3,4,4,4,4,4,4
2724,0,1,1,2,1,2,2,1,1,1,1
2725,0,1,1,1,1,1,3,2,2,1,1
2726,0,1,1,2,3,3,4,4,3,3,3
2727,0,1,1,1,1,1,1,1,1,1,1
2728,0,1,2,3,3,4,4,4,4,4,4
2729,0,1,1,2,3,3,4,4,4,4,3
2730,0,1,2,2,4,5,5,5,5,4,4
2731,0,1,1,2,2,2,2,2,1,0,0
2732,0,1,1,3,3,4,4,4,3,3,2
2733,0,1,1,1,3,3,4,4,4,4,4
2734,0,1,1,2,3,3,3,3,3,3,2
2735,0,1,1,2,3,3,3,3,3,2,1
2736,0,1,2,3,3,3,3,2,1,1,1
2737,0,1,2,2,2,2,1,1,1,0,0
2738,0,1,2,3,4,4,4,4,4,3,3
2739,0,1,1,2,3,3,4,4,4,4,4
2740,0,1,1,2,3,3,3,3,4,3,3
2741,0,1,0,1,1,3,3,2,2,1,1
2742,0,1,2,3,3,3,4,4,4,4,4
2743,0,1,1,2,3,4,5,4,4,3,3
2744,0,1,0,1,2,2,2,2,1,1,1
2745,0,1,3,4,4,4,4,4,4,4,4
2746,0,1,2,3,4,4,4,4,4,4,3
2747,0,1,1,3,3,4,5,5,5,4,4
2748,0,1,0,2,3,4,4,4,3,2,2
2749,0,1,1,2,3,3,3,4,3,3,3
2750,0,1,1,1,2,2,3,4,3,3,3
2751,0,1,1,3,3,3,3,3,3,2,2
2752,0,1,1,2,1,2,2,2,1,2,1
2753,0,1,1,2,3,3,4,3,4,3,2
2754,0,1,1,2,2,4,4,4,3,3,2
2755,0,1,2,3,4,4,4,4,4,4,4
2756,0,1,1,1,2,2,3,3,3,3,2
2757,0,1,2,2,3,3,3,2,2,2,1
2758,0,1,1,1,2,2,2,3,2,2,2
2759,0,1,2,2,3,3,4,4,4,4,4
2760,0,1,1,1,2,3,3,2,2,2,2
2761,0,1,1,1,3,4,4,2,2,2,1
2762,0,1,2,4,4,5,5,5,5,5,5
2763,0,1,2,3,3,4,4,5,5,4,4
2764,0,1,1,2,3,1,3,2,2,1,0
2765,0,1,1,2,3,3,3,3,3,3,3
2766,0,1,2,3,3,3,4,4,4,4,3
2767,0,1,1,1,2,3,4,3,3,3,3
2768,0,1,1,2,3,4,4,4,4,3,3
2769,0,1,2,3,4,4,5,5,4,4,4
2770,0,1,2,3,4,4,4,4,4,4,3
2771,0,1,1,2,1,2,3,1,1,0,0
2772,0,1,1,3,4,3,4,3,3,3,2
2773,0,1,1,2,3,4,5,4,4,5,5
2774,0,1,1,2,4,4,4,4,3,3,3
2775,0,1,1,3,4,4,4,5,5,4,4
2776,0,1,1,3,3,4,4,4,4,4,3
2777,0,1,2,2,4,4,4,4,4,4,4
2778,0,1,1,2,3,3,4,4,3,2,1
2779,0,1,1,1,2,2,2,2,1,1,1
2780,0,1,1,1,1,1,1,1,1,1,1
2781,0,1,2,3,3,3,4,4,4,3,2
2782,0,1,1,1,2,3,3,4,3,3,3
2783,0,1,1,3,3,4,4,4,4,3,3
2784,0,1,1,3,4,5,5,4,5,4,4
2785,0,1,1,3,3,4,4,3,3,3,2
2786,0,1,2,3,3,4,4,3,3,2,1
2787,0,1,2,3,3,4,4,4,4,4,4
2788,0,1,2,3,3,3,4,3,3,3,2
2789,0,1,2,3,3,3,4,4,4,3,3
2790,0,1,1,1,1,2,2,2,2,2,1
2791,0,1,1,3,3,4,4,4,4,4,3
2792,0,1,1,1,2,3,4,4,3,3,3
2793,0,1,1,2,1,2,3,3,4,3,3
2794,0,1,1,3,3,4,4,3,2,2,2
2795,0,1,2,3,3,4,4,3,3,3,2
2796,0,1,1,3,4,4,5,5,5,4,4
2797,0,1,2,2,3,3,4,3,3,2,2
2798,0,1,1,2,2,3,3,3,3,2,2
2799,0,1,2,3,3,3,4,4,4,4,4
2800,0,1,1,2,3,3,4,3,3,3,2
2801,0,1,1,2,3,3,3,3,3,2,2
2802,0,1,1,2,3,4,4,4,4,4,4
2803,0,1,1,1,2,4,4,4,4,4,4
2804,0,1,1,1,2,3,4,3,3,3,3
2805,0,1,1,1,2,3,3,3,3,2,1
2806,0,1,2,3,4,4,4,4,4,3,3
2807,0,1,2,3,4,5,5,5,5,4,4
2808,0,1,1,2,3,4,4,4,4,4,4
2809,0,1,1,2,2,4,4,4,3,3,2
2810,0,1,1,2,4,4,4,4,3,3,3
2811,0,1,1,2,3,4,4,4,4,4,4
2812,0,1,1,2,3,3,3,2,2,2,2
2813,0,1,1,3,4,4,4,5,4,4,4
2814,0,1,2,3,4,4,4,3,4,3,3
2815,0,1,2,2,3,4,4,4,3,2,2
2816,0,1,1,2,3,4,3,3,3,3,2
2817,0,1,2,3,4,4,4,4,4,4,3
2818,0,1,2,2,3,4,4,4,4,4,4
2819,0,1,2,2,3,2,2,2,2,1,1
2820,0,1,1,3,3,4,4,4,4,3,3
2821,0,1,2,3,3,4,4,4,5,4,5
2822,0,1,2,3,4,4,4,3,3,2,3
2823,0,1,3,4,4,5,5,5,5,4,4
2824,0,1,2,3,3,3,4,3,3,3,3
2825,0,1,2,3,4,5,5,4,4,4,3
2826,0,1,1,3,3,4,4,4,3,3,2
2827,0,1,1,1,2,2,3,3,2,2,2
2828,0,1,1,2,2,2,3,2,2,1,1
2829,0,1,1,1,2,3,3,3,3,3,2
2830,0,1,1,3,3,4,3,2,2,1,2
2831,0,1,1,2,3,4,4,4,4,4,4
2832,0,1,1,2,3,4,4,4,4,4,4
2833,0,1,2,3,3,4,4,4,4,3,4
2834,0,1,2,3,4,5,5,5,5,5,5
2835,0,1,1,2,3,3,3,3,2,2,1
2836,0,1,1,2,3,3,4,4,4,3,4
2837,0,1,1,1,2,3,4,4,4,3,3
2838,0,1,1,3,4,4,4,4,4,3,3
2839,0,1,1,2,2,3,3,3,3,3,3
2840,0,1,1,1,1,1,3,2,2,1,1
2841,0,1,2,2,3,3,3,4,3,3,4
2842,0,1,2,3,4,4,4,5,5,4,4
2843,0,1,1,2,3,3,4,4,4,3,2
2844,0,1,2,4,5,4,4,4,3,3,4
2845,0,1,1,3,3,3,4,4,3,2,2
2846,0,1,1,2,3,4,4,4,4,4,4
2847,0,1,1,1,1,1,2,2,2,2,2
2848,0,1,2,3,4,4,4,4,4,4,4
2849,0,1,1,2,2,3,3,3,3,2,2
2850,0,1,1,2,3,4,4,4,4,4,4
2851,0,1,1,2,4,4,4,4,3,3,2
2852,0,1,3,4,5,5,5,5,4,3,3
2853,0,1,3,3,3,4,4,5,5,4,3
2854,0,1,1,3,3,4,4,3,3,3,3
2855,0,1,1,1,2,1,1,2,1,0,0
2856,0,1,1,2,2,2,3,3,2,1,1
2857,0,1,1,2,3,3,4,3,3,3,3
2858,0,1,1,3,3,4,4,3,3,2,1
2859,0,1,1,2,3,4,4,4,4,3,2
2860,0,1,1,1,3,4,4,4,4,4,3
2861,0,1,1,3,3,3,4,2,2,2,2
2862,0,1,1,1,1,2,2,2,2,2,1
2863,0,1,2,3,2,1,1,1,1,0,0
2864,0,1,1,2,3,3,3,3,3,4,3
2865,0,1,2,3,2,1,2,2,2,1,1
2866,0,1,1,2,3,3,4,4,4,4,4
2867,0,1,2,3,3,3,4,4,3,3,3
2868,0,1,1,2,3,3,4,3,3,2,1
2869,0,1,1,3,3,3,3,3,3,3,2
2870,0,1,1,2,3,3,4,4,4,3,3
2871,0,1,1,2,3,3,3,3,3,3,3
2872,0,1,1,2,3,3,3,3,4,3,3
2873,0,1,2,2,3,3,4,3,3,2,2
2874,0,1,3,3,4,4,5,5,4,4,4
2875,0,1,2,3,4,4,4,4,4,3,3
2876,0,1,2,2,2,2,3,2,3,2,1
2877,0,1,1,2,3,3,4,3,3,3,3
2878,0,1,1,2,2,2,3,2,2,2,1
2879,0,1,1,1,2,2,2,2,2,2,1
2880,0,1,1,2,3,4,4,4,4,3,2
2881,0,1,1,2,3,3,4,4,3,3,3
2882,0,1,1,2,2,3,3,2,3,2,3
2883,0,1,1,2,3,3,3,2,1,1,1
2884,0,1,2,3,3,3,3,3,3,2,1
2885,0,1,1,2,3,3,3,4,4,4,3
2886,0,1,2,3,4,5,5,5,5,5,5
2887,0,1,2,3,4,3,4,4,4,3,3
2888,0,1,3,3,3,4,4,4,4,4,4
2889,0,1,1,2,2,3,3,3,1,1,0
2890,0,1,1,3,2,2,3,3,3,2,2
2891,0,1,1,1,1,2,3,2,3,2,3
2892,0,1,1,2,3,3,3,3,3,3,3
2893,0,1,1,1,1,2,2,2,2,1,1
2894,0,1,1,2,3,2,3,3,3,2,1
2895,0,1,1,2,3,4,5,4,4,4,4
2896,0,1,3,3,4,4,4,3,3,3,3
2897,0,1,2,4,4,3,3,2,2,1,1
2898,0,1,1,2,2,3,3,3,1,1,1
2899,0,1,2,4,4,4,4,4,5,5,4
2900,0,1,2,3,4,5,5,5,5,5,5
2901,0,1,2,3,3,2,3,2,3,2,1
2902,0,1,1,1,1,2,2,1,1,0,0
2903,0,1,1,2,3,4,4,4,3,2,2
2904,0,1,2,3,4,4,4,4,3,3,3
2905,0,1,1,2,2,2,2,3,3,3,2
2906,0,1,2,3,3,3,4,4,3,3,2
2907,0,1,1,2,3,4,4,4,3,3,3
2908,0,1,1,3,4,4,5,5,5,5,5
2909,0,1,1,2,3,2,3,3,3,3,3
2910,0,1,1,3,4,4,4,4,4,4,4
2911,0,1,1,1,3,4,4,4,4,3,2
2912,0,1,2,3,4,4,4,3,4,3,2
2913,0,1,1,3,3,4,4,4,4,4,3
2914,0,1,1,2,2,2,3,3,2,2,1
2915,0,1,1,3,3,4,4,4,4,4,4
2916,0,1,1,2,3,4,4,3,3,3,3
2917,0,1,1,1,3,3,3,2,2,2,1
2918,0,1,2,3,3,4,4,4,3,2,2
2919,0,1,1,2,3,3,4,4,4,3,3
2920,0,1,1,2,2,3,3,3,3,3,2
2921,0,1,1,2,3,3,4,4,4,4,4
2922,0,1,1,1,2,2,2,2,1,0,0
2923,0,1,1,2,3,3,4,4,4,3,3
2924,0,1,1,2,2,3,4,3,3,3,3
2925,0,1,1,2,3,3,4,3,3,2,2
2926,0,1,2,4,4,5,5,5,4,4,4
2927,0,1,1,2,3,4,4,4,4,4,4
2928,0,1,2,3,3,2,3,3,2,2,2
2929,0,1,2,3,3,4,4,3,3,3,3
2930,0,1,1,3,4,4,4,4,3,2,1
2931,0,1,1,2,2,3,4,3,3,2,2
2932,0,1,1,2,3,3,4,4,4,3,3
2933,0,1,2,4,3,3,4,4,4,3,3
2934,0,1,3,4,4,4,5,5,5,5,4
2935,0,1,1,2,1,2,2,2,1,1,0
2936,0,1,1,1,2,3,3,3,3,3,2
2937,0,1,2,3,4,4,4,3,2,2,2
2938,0,1,1,2,3,4,5,4,4,4,4
2939,0,1,1,1,1,2,3,3,2,3,3
2940,0,1,1,2,2,3,3,3,3,3,3
2941,0,1,1,2,3,2,3,3,3,2,2
2942,0,1,1,1,2,3,3,3,2,2,1
2943,0,1,1,2,2,3,4,4,4,3,2
2944,0,1,1,2,3,3,3,3,3,2,2
2945,0,1,3,4,4,4,4,4,3,3,3
2946,0,1,1,2,3,2,2,3,3,3,3
2947,0,1,2,3,3,3,4,3,3,3,3
2948,0,1,1,3,4,5,5,5,5,5,5
2949,0,1,1,1,3,3,3,3,3,2,1
2950,0,1,1,2,2,3,3,3,3,3,3
2951,0,1,1,2,2,3,3,3,2,2,2
2952,0,1,2,3,3,3,3,3,2,1,1
2953,0,1,1,2,3,4,5,5,4,4,4
2954,0,1,2,3,4,4,4,4,4,3,4
2955,0,1,1,3,3,2,3,3,3,2,2
2956,0,1,1,2,3,3,3,3,2,2,2
2957,0,1,1,2,3,3,3,3,3,3,4
2958,0,1,1,1,2,3,3,2,2,1,2
2959,0,1,1,2,3,2,3,3,3,3,2
2960,0,1,1,1,3,3,3,3,2,2,2
2961,0,1,1,2,2,2,3,3,3,3,3
2962,0,1,2,3,4,4,4,4,4,4,4
2963,0,1,1,3,4,4,4,4,4,4,4
2964,0,1,1,2,3,4,4,4,3,2,3
2965,0,1,1,1,2,3,3,3,3,3,3
2966,0,1,1,3,4,4,4,4,4,3,3
2967,0,1,2,4,4,5,5,5,5,4,4
2968,0,1,2,4,4,4,5,4,4,4,3
2969,0,1,1,2,3,3,4,4,4,3,2
2970,0,1,1,3,3,4,5,5,5,4,4
2971,0,1,1,3,3,4,4,4,4,4,4
2972,0,1,1,3,3,4,4,4,4,4,4
2973,0,1,1,3,3,4,4,5,5,5,4
2974,0,1,2,3,4,4,5,5,5,4,4
2975,0,1,1,2,2,3,3,3,4,3,2
2976,0,1,2,2,2,3,4,4,3,3,3
2977,0,1,1,2,3,3,3,3,3,3,2
2978,0,1,1,2,3,3,4,4,4,3,2
2979,0,1,2,4,4,5,5,5,4,4,4
2980,0,1,1,2,2,2,2,2,2,1,0
2981,0,1,1,3,4,4,5,5,5,4,5
2982,0,1,2,3,4,4,4,4,4,4,4
2983,0,1,1,1,2,4,4,4,4,4,3
2984,0,1,0,1,2,3,4,3,2,1,1
2985,0,1,1,3,4,4,4,4,4,4,4
2986,0,1,1,3,3,4,4,3,3,3,2
2987,0,1,2,3,4,4,5,4,4,4,4
2988,0,1,2,3,4,4,4,4,4,4,4
2989,0,1,1,2,2,3,3,2,2,1,1
2990,0,1,1,1,2,3,4,4,4,4,4
2991,0,1,2,3,3,4,5,5,5,4,4
2992,0,1,1,2,3,3,3,3,3,2,2
2993,0,1,1,1,2,3,3,3,3,3,2
2994,0,1,1,2,3,4,4,4,4,4,3
2995,0,1,1,2,3,3,3,4,3,3,3
2996,0,1,1,3,4,4,4,5,5,5,5
2997,0,1,1,3,3,4,5,5,5,4,3
2998,0,1,1,3,4,4,4,4,4,4,3
2999,0,1,1,3,4,4,4,4,4,4,4
3000,0,1,1,2,3,2,2,2,2,1,1
3001,0,1,2,3,3,4,4,3,3,1,1
3002,0,1,1,2,2,3,3,2,2,1,2
3003,0,1,1,1,1,3,3,3,3,3,2
3004,0,1,1,1,2,3,4,3,3,3,3
3005,0,1,1,2,3,3,4,3,3,3,2
3006,0,1,1,2,2,3,2,2,2,2,1
3007,0,1,1,2,3,3,4,4,4,4,3
3008,0,1,1,2,3,3,4,4,4,3,2
3009,0,1,1,2,4,4,4,4,4,3,3
3010,0,1,1,2,3,3,4,3,3,2,1
3011,0,1,2,4,4,4,4,5,5,4,4
3012,0,1,2,3,4,4,4,5,4,4,3
3013,0,1,1,3,3,2,2,2,2,2,1
3014,0,1,1,1,2,3,4,4,4,4,3
3015,0,1,1,3,3,3,3,3,3,3,2
3016,0,1,1,1,3,3,3,3,2,1,1
3017,0,1,1,2,1,1,3,3,3,2,2
3018,0,1,1,2,3,2,3,1,2,1,0
3019,0,1,1,2,3,2,3,2,3,2,1
3020,0,1,1,2,2,3,3,3,3,3,2
3021,0,1,1,3,3,4,4,4,4,3,4
3022,0,1,1,2,3,2,3,3,2,2,2
3023,0,1,2,3,4,5,5,5,4,4,4
3024,0,1,1,1,2,3,3,4,3,2,2
3025,0,1,1,2,3,2,3,2,2,1,1
3026,0,1,1,3,3,3,4,4,4,4,3
3027,0,1,1,1,2,1,1,1,1,0,0
